"","id","name","weight"
"561","42126668","Peyton James",17
"562","70246837","Kate Walsh",17
"563","9252212","CNN Political Ticker",17
"564","9508922","Jim DeMint",17
"565","130945778","Molly Ball",16
"566","1393551","Cathleen London MD",16
"567","14270329","Ryan J. Davis",16
"568","14478260","Tom Tomorrow",16
"569","14845376","Lindsey Graham",16
"570","15515169","toddstarnes",16
"571","15635264","rmuse",16
"572","15922214","Roll Call",16
"573","15986207","DMan",16
"574","16041234","The Raw Story",16
"575","16692057","C. Steven Tucker",16
"576","16742973","ELAMAR",16
"577","17044977","Nomad ",16
"578","18089068","Kathryn Scaglione",16
"579","18686907","davidfrum",16
"580","18767699","Political Hotsheet",16
"581","189806241","Caligirl22",16
"582","190905427","ForAmerica",16
"583","197404857","Bruce P. Knight",16
"584","20435808","Anna Teresa Arnold",16
"585","22509548","Darrell Issa",16
"586","22788514","Robert M.",16
"587","24914494","Brad Hennenfent",16
"588","268476335","Steven Greenhouse",16
"589","30523211","Armenta ",16
"590","32686575","Debra Amato",16
"591","334660170","David I. Goldstein",16
"592","33530012","Official CHC- 112th",16
"593","37131103","MOVING FORWARD!",16
"594","38495835","Mark R. Levin",16
"595","40879267","stonecircle",16
"596","409007338","Kris10 ",16
"597","436314047","WayneEdH",16
"598","45895089","Ellison for Congress",16
"599","53130511","Angelo Carusone",16
"600","87510313","Tammy Baldwin ",16
"601","102238997","Jan Crawford",15
"602","11347122","Gavin Newsom",15
"603","12266442","Janelle Monae",15
"604","140640762","Joe the Patriotic",15
"605","14093404","divadoll123",15
"606","14347931","roadkillrefugee",15
"607","14529929","Jake Tapper",15
"608","14855994","David Sirota",15
"609","15441965","Ari Melber",15
"610","168524035","shondi99",15
"611","17241517","JD",15
"612","17387589","Vann Schaffner",15
"613","17845639","James",15
"614","184444667","Sandy Dover",15
"615","18538833","Middle Class Warrior",15
"616","18916432","Paul Ryan",15
"617","19017604","Sissy Willis",15
"618","190890578","Quorum Call",15
"619","19914257","Matt Viser",15
"620","21220931","Luke Russert",15
"621","21369740","Rob DenBleyker",15
"622","218027755","TheTeaParty.net",15
"623","22278303","Charles Ornstein",15
"624","230286463","the_stupid",15
"625","232901331","Dan Bongino",15
"626","23519653","Fuse Washington",15
"627","243291372","Rich Baska",15
"628","253353588","Eddie Barnes",15
"629","272484329","Lowell Huber",15
"630","27689907","John McCormack",15
"631","34701889","Max",15
"632","38705789","Desert Beacon",15
"633","40260612","Bill Press",15
"634","42174783","Obama for America NM",15
"635","468615061","Eric Leshawn Brewton",15
"636","476848835","Trisha Hope",15
"637","518092025","Breitbart.com Feed",15
"638","57917441","Lizz Winstead",15
"639","59461030","BIG GUNS",15
"640","110918004","Chris Mundy",14
"641","122165841","Melissa Brewer",14
"642","13225522","TiffaniHillPatterson",14
"643","14075928","The Onion",14
"644","14099695","Barack Obama News",14
"645","14282169","Billy Hallowell",14
"646","149283816","meta",14
"647","14989516","Ben Domenech",14
"648","15207668","GOP Conference",14
"649","15837659","jennifer bendery",14
"650","16160943","Wayne Radcliffe",14
"651","16305494","Tom",14
"652","16459325","Ryan Teague Beckwith",14
"653","16582131","docrocktex",14
"654","16616797","SussHusseinObama",14
"655","168280744"," Vandalay Industries",14
"656","17094392","MsJoanne",14
"657","175809915","Alan Cochran",14
"658","18436199","LPMercer",14
"659","18597764","Rima Regas",14
"660","18645342","PLAN Nevada",14
"661","18768324"," TX: #ChooseCruz ",14
"662","18785467","kimanne123",14
"663","19024627","Josh Greenman",14
"664","190803014","Kate Hussein Obama",14
"665","191629274","Geek Hillbilly",14
"666","192337912","Winning Progressive",14
"667","195128690","Sam Cook, III",14
"668","19980678","CWforA",14
"669","20776497","Betsy Fischer",14
"670","216881337","Senator Rand Paul",14
"671","21693060","Callie Schweitzer",14
"672","21714521","Linda",14
"673","22956220","Tammy Bruce",14
"674","23888634","L J",14
"675","252726249","99ermikeb",14
"676","28313639","Zulu Yama Gumbo",14
"677","28863804","Wylie Jones",14
"678","31128529","Ways and Means Dems",14
"679","313091751","Dan Savage",14
"680","329443994","LOLPAC Left Out Loud",14
"681","373397618","PAPARAZZINC",14
"682","388986101","American Spring",14
"683","406525423","neil pessall",14
"684","41766391","Lester",14
"685","43182702","Defund NPR PBS & NEA",14
"686","463204813","Jola Mehmeti",14
"687","47762195","Queerjohn PA",14
"688","490868098","Leah ",14
"689","51478771","LOrion",14
"690","5447242","Emily Zanotti",14
"691","57770362","Justin J. McAffee",14
"692","5988062","The Economist",14
"693","60680268","Jedediah Bila",14
"694","61015562","Scott Barbour",14
"695","615607402","Barack Quotes",14
"696","71969051","Living Democracy",14
"697","72185664","Amelia ",14
"698","76771090","Obama for America NJ",14
"699","82689705","The New Republic",14
"700","83011510","WelshGasDoc",14
"701","939091","Joe Biden",14
"702","95965719","LMS",14
"703","12144232","stephenkruiser",13
"704","138977055","Andrew Stiles",13
"705","15433092","Tom O'Halloran",13
"706","15932085","Teri Christoph",13
"707","15998753","TurboKitty  ",13
"708","16007460","freddoso",13
"709","16893491","Robert Greenwald",13
"710","16930489","Jon Gabriel",13
"711","17011177","Cecile Richards",13
"712","17611447","Tabitha Hale",13
"713","17907578","Dina Titus",13
"714","18176907","DanRiehl",13
"715","188037187","Mr D",13
"716","1880781","NYTimes Politics",13
"717","195039023","Politics are Real ",13
"718","197845065","Richard Amerling",13
"719","206299865","Alden Schofield",13
"720","220112620","@Women Vote@",13
"721","22643800","Teri Peters",13
"722","22805354","Dustyo",13
"723","23798694","Charlie Daniels",13
"724","257399079","WisConservative",13
"725","28162811","Tom Holthaus",13
"726","292274689","Supreme Court Report",13
"727","310482542","The National Memo",13
"728","33811812","betseyross",13
"729","39294154","R Joseph",13
"730","393575386","Jerry for Congress",13
"731","410192158","TwitchyPolitics",13
"732","41637913","Nate FromUsa",13
"733","42717128","John T Marohn",13
"734","45413198","Bob Krause",13
"735","45641358","PolitixGal",13
"736","45683236","Lefty",13
"737","46546783","raemd95",13
"738","466519303","John Nichols",13
"739","541329760","Viewpoint",13
"740","558251172","RB Obama Blair ",13
"741","56149176","Derek Hunter",13
"742","56449803","Gop_2012 ",13
"743","60841112","Only4RM",13
"744","66951419","Bob Miller",13
"745","6724252","Phil Kerpen",13
"746","6782762","Ali A. Akbar",13
"747","68754498","mike",13
"748","75426887","Skip Hatos",13
"749","759251","CNN",13
"750","80617430","Ryan Lizza",13
"751","85606078","U.S. Chamber",13
"752","86141342","ABC World News",13
"753","91279573","Adam Baldwin",13
"754","972651","Pete Cashmore",13
"755","98976956","MikeJ500",13
"756","10774652","TheBlaze.com",12
"757","115276825","Brezzydee",12
"758","115753716","John Schroy",12
"759","116099364","PolitiFact Florida",12
"760","12272322","Reid Wilson",12
"761","128763392","The Christian Left",12
"762","132496568","Eric Schneiderman",12
"763","133570135","Jaxx",12
"764","14177942","Ms. Magazine",12
"765","14226882","NCLR",12
"766","14413466","Jon Ralston",12
"767","14465607","Andrew Malcolm",12
"768","14609435","Maria Lia Calvo",12
"769","14868145","USAction",12
"770","15087011","Romenesko",12
"771","15182798","joshua epstein",12
"772","15636435","Scott Keyes",12
"773","158414847","The Daily Show",12
"774","16130075","Lifeis2Art",12
"775","162223762","3January2013",12
"776","16254215","RiPPa",12
"777","17561562","slone",12
"778","17664609","I Am The 99%",12
"779","18459548","Pirate Wench",12
"780","194615561","Prudence",12
"781","19605981","Truthout",12
"782","19615940","Earl Crosby",12
"783","196640692","Ruthanng Fubbles",12
"784","21301933","Brad Dayspring",12
"785","22069212","Laura Martin ;fd",12
"786","22329038","czar",12
"787","225189494","chaplinlives",12
"788","22857194","Michele",12
"789","237403203","Allen West",12
"790","24268066","Brad Friedman",12
"791","24405200","Joseph J. Santorsa",12
"792","24768753","Sherrod Brown",12
"793","256800972","JWWright",12
"794","265682992","Jake",12
"795","28363009","Linda Dapper",12
"796","315632199","amk4obama",12
"797","3365","Karl Frisch",12
"798","35298247","Auriandra",12
"799","36575786"," historygoddess",12
"800","388432699","WhirlwindRemnant",12
"801","397407125","NCnomad",12
"802","398239057","Aunty Money",12
"803","41309334","LiteraryStop.Com",12
"804","43232530","Steph",12
"805","48115928","Congress.org",12
"806","503697593","Max Johnson",12
"807","531792014","MidWestGirl",12
"808","56202097","Red",12
"809","569155012","laura rooks",12
"810","6092972","Alan Rosenblatt",12
"811","60972923","Pam Grier",12
"812","69218324","Obama for America UT",12
"813","72579376","John Hayward",12
"814","7793902","Pam Spaulding",12
"815","800951718","Obama 2012",12
"816","85395596","Noel Sheppard",12
"817","93040337","John Edginton",12
"818","122212010","Andrew A Bair",11
"819","124898913","Annemarie Cairns",11
"820","130600206","Heritage Action",11
"821","132201224","Jim McDermott",11
"822","137794015","Rep. Ted Deutch",11
"823","139458452","martin hinojosa",11
"824","14139584","Erin Matson",11
"825","14185317","Jennifer Granholm",11
"826","14190948","Jamelle Bouie",11
"827","14240875","AFSCME",11
"828","14246001","Mike Allen",11
"829","14296273","Common Dreams",11
"830","146644080","John Billar",11
