"","text","created","id","screenName"
"77","End 3rd Quarter: #Badgers 21, Troy 3 http://t.co/zmEDePlAmq",2015-09-19 22:02:43,"645357378616098816","BadgerFootball"
"78","Today's attendance: 77,157. #Badgers' 117th-consecutive crowd of 75,000+ at Camp Randall",2015-09-19 21:49:43,"645354106069061633","BadgerFootball"
"79","""Tanner McEvoy, on the run, takes it home!"" https://t.co/V8YzM7AJeW (via @LFSLive)",2015-09-19 21:45:37,"645353071594373120","BadgerFootball"
"80","@BTNBrentYarina #TannerCat",2015-09-19 21:42:23,"645352261615529984","BadgerFootball"
"81","@JohnVeldhuis We're trying, man",2015-09-19 21:40:59,"645351906857078784","BadgerFootball"
"82","Receptions? Interceptions? Rushing TDs? He's got 'em all. http://t.co/owsnzLka1A",2015-09-19 21:40:08,"645351692683358208","BadgerFootball"
"83","@jessetemple #TannerCat",2015-09-19 21:38:28,"645351272510529536","BadgerFootball"
"84","Touchdown, Wisconsin! Tanner McEvoy 32-yd TD run -- #Badgers 21, Troy 3 -- 7:16 3rd Qtr",2015-09-19 21:37:54,"645351133570035712","BadgerFootball"
"85","#TannerCat for six!",2015-09-19 21:37:15,"645350967366549505","BadgerFootball"
"86","#TannerCat",2015-09-19 21:36:38,"645350813326548992","BadgerFootball"
"87","Lupita Nyong’o shines a light on Africa http://t.co/IA4gYz5i2F",2015-09-24 04:41:46,"646907354118795264","nytimes"
"88","Man Accused of Killing Bronx Taxi Driver in Fare Dispute http://t.co/jc6h9Bnl1D",2015-09-24 04:27:05,"646903657779318784","nytimes"
"89","Hackers took the fingerprints of 5.6 million U.S. workers, government says http://t.co/y3s9bOKUjb",2015-09-24 03:51:53,"646894798306168832","nytimes"
"90","Hackers took fingerprints of 5.6 million U.S. workers, government says http://t.co/NTjUolG8dy",2015-09-24 03:35:58,"646890794150961153","nytimes"
"91","The Billionaire, the Picassos and a $30 Million Gift to Shame a Middleman http://t.co/RJKei7Q114",2015-09-24 03:21:56,"646887260902850562","nytimes"
"92","Volkswagen and the era of cheating software http://t.co/Om8C6sb0PO",2015-09-24 03:17:11,"646886066390216704","nytimes"
"93","F.B.I. investigators have found emails that Hillary Clinton said were erased http://t.co/ldvbI2gVla",2015-09-24 03:00:42,"646881918496165888","nytimes"
"94","A Day of Empty Seats and Donald Trump in Full Attack http://t.co/I1s69llQgk",2015-09-24 02:27:46,"646873630509506560","nytimes"
"95","Amazon has announced new pilots from Louis C.K., Tig Notaro and Sacha Baron Cohen http://t.co/ahiFlj0MOK",2015-09-24 02:27:26,"646873546371805188","nytimes"
"96","Frank Gehry draws ire for joining Los Angeles River restoration project http://t.co/9fIqB8YJ8J",2015-09-24 02:13:23,"646870012410642432","nytimes"
"97","What it's like to be in a Brazilian ""love motel"" http://t.co/DqrkmuRbFM http://t.co/8uHU1UPWIJ",2015-09-24 02:02:14,"646867205641138178","nytimes"
"98","Memo From Germany: A Car Scandal Shoves Berlin Off High Ground http://t.co/qfr24ItRTI",2015-09-24 01:47:20,"646863456331821056","nytimes"
"99","Many Latino Catholics celebrated Junípero Serra’s canonization as a mark of legitimacy for all Hispanics in the US http://t.co/8IVyUFQD0N",2015-09-24 01:37:00,"646860856077217792","nytimes"
"100","Volkswagen test rigging follows a long auto industry pattern http://t.co/JNtg1yST82",2015-09-24 01:22:10,"646857120000966656","nytimes"
"101","The new iPhones have some high-profile features, but a smarter Siri might steal the spotlight http://t.co/G0d3XVNDXr",2015-09-24 01:07:30,"646853428937916416","nytimes"
"102","Military Analyst Again Raises Red Flags on Progress in Iraq http://t.co/N3nr8ybPAp",2015-09-24 00:53:18,"646849857005723648","nytimes"
"103","Donald Trump quits Fox News (again) after his Bill O'Reilly appearance was canceled http://t.co/2k2O2PpAE0",2015-09-24 00:52:25,"646849633130516480","nytimes"
"104","It turns out sitting is bad for children, too http://t.co/Wdn1pReInV",2015-09-24 00:24:29,"646842606031360000","nytimes"
"105","Colombia Close to a Peace Accord With FARC Rebels http://t.co/QbRicCGuz3",2015-09-24 00:12:53,"646839685973676032","nytimes"
"106","Ashraf Ghani, Afghan President, Vows to Crack Down on Abuse of Boys http://t.co/dtSqSh1gFw",2015-09-23 23:39:04,"646831174510358528","nytimes"
"107","Did Yogi Berra really say all those things he said? http://t.co/iKqgzoKOgp http://t.co/ycDByiRi4u",2015-09-23 23:30:48,"646829093330264064","nytimes"
"108","The copyright for ""Happy Birthday"" has been invalidated by a judge http://t.co/G0yrtR3yvW",2015-09-23 23:15:23,"646825216019177472","nytimes"
"109","10 things I learned about Donald Trump in ""The Art of the Deal,"" from @jbarro http://t.co/4qFdzGOvVe",2015-09-23 23:00:02,"646821352125673472","nytimes"
"110","New York City ballet gambles on unknown choreographers http://t.co/jY9lcCIZ28 http://t.co/fg6YK2vzV5",2015-09-23 22:45:05,"646817591105843200","nytimes"
"111","Photos of Yogi Berra, one of baseball’s greatest catchers and characters http://t.co/K47qnwj2BZ http://t.co/2CVfOue7YM",2015-09-23 22:30:12,"646813843029667841","nytimes"
"112","Afghan president Ashraf Ghani vows to crack down on abuse of boys http://t.co/iQdAUzssGM",2015-09-23 22:00:14,"646806301998235649","nytimes"
"113","Egypt has bought two French warships originally built for Russia http://t.co/R2jkyt7dTN",2015-09-23 21:45:05,"646802489187110914","nytimes"
"114","Donald Trump quits Fox News (again) after his Bill O'Reilly appearance was canceled http://t.co/LtVnXsCRco",2015-09-23 21:30:05,"646798717975183366","nytimes"
"115","The pope is in town? Party time. http://t.co/2aUUYaOKLf",2015-09-23 21:15:04,"646794938517065729","nytimes"
"116","After a growing number of drone crashes, the FAA says it is stepping up regulations http://t.co/ouvHb8dTNG http://t.co/5JvTGuM69h",2015-09-23 21:00:09,"646791184447176704","nytimes"
"117","Opposition to refugee quotas softens in Europe’s old communist bloc http://t.co/KdHm06inAp http://t.co/vz4A4NxHPF",2015-09-23 20:45:05,"646787390493749248","nytimes"
"118","A big bet that China’s currency will devalue further http://t.co/X53xoiw3dV",2015-09-23 20:30:10,"646783636230934528","nytimes"
"119","The prime minister did what with a pig’s head? http://t.co/VMPJ7a0wZk via @NYTOpinion",2015-09-23 20:15:07,"646779850498244608","nytimes"
"120","From http://t.co/T45PFnu9DV: Baseball great Yogi Berra put on his catcher's gear at Yankee Stadium in 1956 http://t.co/UNtCfeGOnY",2015-09-23 20:00:14,"646776105798467584","nytimes"
"121","Pope Francis is set to canonize Rev. Junípero Serra soon. Here's what you need to know: http://t.co/AUSHosuJxG",2015-09-23 19:46:19,"646772602027950080","nytimes"
"122","Here is when and where the 2016 presidential debates will be held http://t.co/PDHWwtCsDp",2015-09-23 19:37:01,"646770261602246656","nytimes"
"123","Some of the world’s most prominent companies committed themselves to only using renewable energy in the long term http://t.co/aguJs5v1WO",2015-09-23 19:27:37,"646767895696003073","nytimes"
"124","Coming soon to checkouts: microchip-card payment systems http://t.co/cepBQntZVZ",2015-09-23 19:15:12,"646764772625645568","nytimes"
"125","See London on a full stomach and a tight budget with the @frugaltraveler http://t.co/0hdiBFHjuX http://t.co/tvKaRS7G7h",2015-09-23 19:02:21,"646761539312160768","nytimes"
"126","Yogi Berra’s second act, as elder statesman, as glorious as the first http://t.co/uxfDKmueBS http://t.co/0Cz3errYMJ",2015-09-23 18:37:11,"646755206013784065","nytimes"
"127","Hackers took the fingerprints of 5.6 million U.S. workers, government says http://t.co/HoIfsPCWvT",2015-09-23 18:18:10,"646750417825742848","nytimes"
"128","What it's like to be in a Brazilian ""love motel"" http://t.co/0QXEY8wSLh http://t.co/ID5dxgmIWe",2015-09-23 18:05:11,"646747152337764354","nytimes"
"129","Consumers are eating more full-fat foods http://t.co/Z0x1XFyOlt",2015-09-23 17:42:10,"646741358640766977","nytimes"
"130","He may be the foremost Catholic, but to many, Pope Francis is more Martin Luther King Jr. than Pope Benedict XVI http://t.co/I3CxYre7BQ",2015-09-23 17:15:40,"646734689928089600","nytimes"
